raw_marks,approx_percentile,approx_rank,normalized_score
76,78.4,259200,0.25333333333333335
77,78.8,254400,0.25666666666666665
78,79.2,249600,0.26
79,79.6,244800,0.2633333333333333
80,80.0,240000,0.26666666666666666
81,80.35,235800,0.27
82,80.7,231600,0.2733333333333333
83,81.05,227400,0.27666666666666667
84,81.4,223200,0.28
85,81.75,219000,0.2833333333333333
86,82.1,214800,0.2866666666666667
87,82.45,210600,0.29
88,82.8,206400,0.29333333333333333
89,83.15,202200,0.2966666666666667
90,83.5,198000,0.3
91,83.85,193800,0.30333333333333334
92,84.2,189600,0.30666666666666664
93,84.55,185400,0.31
94,84.9,181200,0.31333333333333335
95,85.25,177000,0.31666666666666665
96,85.6,172800,0.32
97,85.95,168600,0.3233333333333333
98,86.3,164400,0.32666666666666666
99,86.65,160200,0.33
100,87.0,156000,0.3333333333333333
101,87.3,152400,0.33666666666666667
102,87.6,148800,0.34
103,87.9,145200,0.3433333333333333
104,88.2,141600,0.3466666666666667
105,88.5,138000,0.35
106,88.8,134400,0.35333333333333333
107,89.1,130800,0.3566666666666667
108,89.4,127200,0.36
109,89.7,123600,0.36333333333333334
110,90.0,120000,0.36666666666666664
111,90.3,116400,0.37
112,90.6,112800,0.37333333333333335
113,90.9,109200,0.37666666666666665
114,91.2,105600,0.38
115,91.5,102000,0.38333333333333336
116,91.8,98400,0.38666666666666666
117,92.1,94800,0.39
118,92.4,91200,0.3933333333333333
119,92.7,87600,0.39666666666666667
120,93.0,84000,0.4
121,93.15,82200,0.4033333333333333
122,93.3,80400,0.4066666666666667
123,93.45,78600,0.41
124,93.6,76800,0.41333333333333333
125,93.75,75000,0.4166666666666667
126,93.9,73200,0.42
127,94.05,71400,0.42333333333333334
128,94.2,69600,0.4266666666666667
129,94.35,67800,0.43
130,94.5,66000,0.43333333333333335
131,94.65,64200,0.43666666666666665
132,94.8,62400,0.44
133,94.95,60600,0.44333333333333336
134,95.1,58800,0.44666666666666666
135,95.25,57000,0.45
136,95.4,55200,0.4533333333333333
137,95.55,53400,0.45666666666666667
138,95.7,51600,0.46
139,95.85,49800,0.4633333333333333
140,96.0,48000,0.4666666666666667
141,96.11,46680,0.47
142,96.22,45360,0.47333333333333333
143,96.33,44040,0.4766666666666667
144,96.44,42720,0.48
145,96.55,41400,0.48333333333333334
146,96.66,40080,0.4866666666666667
147,96.77,38760,0.49
148,96.88,37440,0.49333333333333335
149,96.99,36120,0.49666666666666665
150,97.1,34800,0.5
151,97.21000000000001,33480,0.5033333333333333
152,97.32000000000001,32160,0.5066666666666667
153,97.43,30840,0.51
154,97.54,29520,0.5133333333333333
155,97.65,28200,0.5166666666666667
156,97.76,26880,0.52
157,97.87,25560,0.5233333333333333
158,97.98,24240,0.5266666666666666
159,98.09,22920,0.53
160,98.2,21600,0.5333333333333333
161,98.255,20940,0.5366666666666666
162,98.31,20280,0.54
163,98.36500000000001,19620,0.5433333333333333
164,98.42,18960,0.5466666666666666
165,98.475,18300,0.55
166,98.53,17640,0.5533333333333333
167,98.58500000000001,16980,0.5566666666666666
168,98.64,16320,0.56
169,98.695,15660,0.5633333333333334
170,98.75,15000,0.5666666666666667
171,98.805,14340,0.57
172,98.86,13680,0.5733333333333334
173,98.91499999999999,13020,0.5766666666666667
174,98.97,12360,0.58
175,99.025,11700,0.5833333333333334
176,99.08,11040,0.5866666666666667
177,99.13499999999999,10380,0.59
178,99.19,9720,0.5933333333333334
179,99.245,9060,0.5966666666666667
180,99.3,8400,0.6
181,99.32,8160,0.6033333333333334
182,99.34,7920,0.6066666666666667
183,99.36,7680,0.61
184,99.38,7440,0.6133333333333333
185,99.4,7200,0.6166666666666667
186,99.42,6960,0.62
187,99.44,6720,0.6233333333333333
188,99.46,6480,0.6266666666666667
189,99.48,6240,0.63
190,99.5,6000,0.6333333333333333
191,99.52,5760,0.6366666666666667
192,99.54,5520,0.64
193,99.56,5280,0.6433333333333333
194,99.58,5040,0.6466666666666666
195,99.6,4800,0.65
196,99.62,4560,0.6533333333333333
197,99.64,4320,0.6566666666666666
198,99.66,4080,0.66
199,99.68,3840,0.6633333333333333
200,99.7,3600,0.6666666666666666
201,99.7075,3510,0.67
202,99.715,3420,0.6733333333333333
203,99.7225,3330,0.6766666666666666
204,99.73,3240,0.68
205,99.7375,3150,0.6833333333333333
206,99.745,3060,0.6866666666666666
207,99.7525,2970,0.69
208,99.76,2880,0.6933333333333334
209,99.7675,2790,0.6966666666666667
210,99.775,2700,0.7
211,99.7825,2610,0.7033333333333334
212,99.78999999999999,2520,0.7066666666666667
213,99.7975,2430,0.71
214,99.80499999999999,2340,0.7133333333333334
215,99.8125,2250,0.7166666666666667
216,99.82,2160,0.72
217,99.8275,2070,0.7233333333333334
218,99.835,1980,0.7266666666666667
219,99.8425,1890,0.73
220,99.85,1800,0.7333333333333333
221,99.85266666666666,1768,0.7366666666666667
222,99.85533333333333,1736,0.74
223,99.85799999999999,1704,0.7433333333333333
224,99.86066666666666,1672,0.7466666666666667
225,99.86333333333333,1640,0.75
226,99.866,1608,0.7533333333333333
227,99.86866666666667,1576,0.7566666666666667
228,99.87133333333333,1544,0.76
229,99.874,1512,0.7633333333333333
230,99.87666666666667,1480,0.7666666666666667
231,99.87933333333334,1448,0.77
232,99.882,1416,0.7733333333333333
233,99.88466666666666,1384,0.7766666666666666
234,99.88733333333333,1352,0.78
235,99.89,1320,0.7833333333333333
236,99.89266666666667,1288,0.7866666666666666
237,99.89533333333334,1256,0.79
238,99.898,1224,0.7933333333333333
239,99.90066666666667,1192,0.7966666666666666
240,99.90333333333334,1160,0.8
241,99.906,1128,0.8033333333333333
242,99.90866666666668,1096,0.8066666666666666
243,99.91133333333333,1064,0.81
244,99.914,1032,0.8133333333333334
245,99.91666666666667,1000,0.8166666666666667
246,99.91933333333334,968,0.82
247,99.92200000000001,936,0.8233333333333334
248,99.92466666666667,904,0.8266666666666667
249,99.92733333333334,872,0.83
250,99.93,840,0.8333333333333334
251,99.93166666666667,820,0.8366666666666667
252,99.93333333333334,800,0.84
253,99.935,780,0.8433333333333334
254,99.93666666666667,760,0.8466666666666667
255,99.93833333333333,740,0.85
256,99.94000000000001,720,0.8533333333333334
257,99.94166666666668,700,0.8566666666666667
258,99.94333333333334,680,0.86
259,99.94500000000001,660,0.8633333333333333
260,99.94666666666667,640,0.8666666666666667
261,99.94833333333334,620,0.87
262,99.95,600,0.8733333333333333
263,99.95166666666667,580,0.8766666666666667
264,99.95333333333333,560,0.88
265,99.95500000000001,540,0.8833333333333333
266,99.95666666666668,520,0.8866666666666667
267,99.95833333333334,500,0.89
268,99.96000000000001,480,0.8933333333333333
269,99.96166666666667,460,0.8966666666666666
270,99.96333333333334,440,0.9
271,99.965,420,0.9033333333333333
272,99.96666666666667,400,0.9066666666666666
273,99.96833333333333,380,0.91
274,99.97,360,0.9133333333333333
275,99.97166666666666,340,0.9166666666666666
276,99.97333333333334,320,0.92
277,99.97500000000001,300,0.9233333333333333
278,99.97666666666667,280,0.9266666666666666
279,99.97833333333334,260,0.93
280,99.98,240,0.9333333333333333
281,99.98075,231,0.9366666666666666
282,99.98150000000001,222,0.94
283,99.98225000000001,213,0.9433333333333334
284,99.983,204,0.9466666666666667
285,99.98375,195,0.95
286,99.9845,186,0.9533333333333334
287,99.98525000000001,177,0.9566666666666667
288,99.986,168,0.96
289,99.98675,159,0.9633333333333334
290,99.98750000000001,150,0.9666666666666667
291,99.98825000000001,141,0.97
292,99.989,132,0.9733333333333334
293,99.98975,123,0.9766666666666667
294,99.9905,114,0.98
295,99.99125000000001,105,0.9833333333333333
296,99.992,96,0.9866666666666667
297,99.99275,87,0.99
298,99.99350000000001,78,0.9933333333333333
299,99.99425000000001,69,0.9966666666666667
300,99.995,60,1.0
